results,wind,athlete,birth_year,nationality,race,place,venue,date,rs
9.83,+0.4,Christian COLEMAN,96,USA,F,1,"Egret Stadium, Xiamen (CHN)",02.09,1266
9.83,+0.1,Christian COLEMAN,96,USA,F,1,"Hayward Field, Eugene, OR (USA)",16.09,1266
9.85,+0.4,Kishane THOMPSON,01,JAM,F,2,"Egret Stadium, Xiamen (CHN)",02.09,1259
9.85,+0.1,Noah LYLES,97,USA,F,2,"Hayward Field, Eugene, OR (USA)",16.09,1259
9.85,+0.1,Ferdinand OMANYALA,96,KEN,F,3,"Hayward Field, Eugene, OR (USA)",16.09,1259
9.87,+0.1,Kishane THOMPSON,01,JAM,F,4,"Hayward Field, Eugene, OR (USA)",16.09,1252
9.92,+0.6,Ferdinand OMANYALA,96,KEN,F,1,"Stade Louis II, Monaco (MON)",21.07,1234
9.93,+0.6,Letsile TEBOGO,03,BOT,F,2,"Stade Louis II, Monaco (MON)",21.07,1231
9.94,+0.1,Fred KERLEY,95,USA,F,1,"Complexe Sportif Prince Moulay Abdellah, Rabat (MAR)",28.05,1227
9.94,0.0,Fred KERLEY,95,USA,F,1,"Stadio Luigi Ridolfi, Firenze (ITA)",02.06,1227
9.96,+0.4,Fred KERLEY,95,USA,F,3,"Egret Stadium, Xiamen (CHN)",02.09,1220
9.97,-0.9,Noah LYLES,97,USA,F,1,"Stade Charléty, Paris (FRA)",09.06,1222
9.97,0.0,Akani SIMBINE,93,RSA,F,1,"Stadion Śląski, Chorzów (POL)",16.07,1217
9.98,-0.9,Ferdinand OMANYALA,96,KEN,F,2,"Stade Charléty, Paris (FRA)",09.06,1218
9.98,0.0,Fred KERLEY,95,USA,F,2,"Stadion Śląski, Chorzów (POL)",16.07,1213
9.98,0.0,Emmanuel ESEME,93,CMR,F,3,"Stadion Śląski, Chorzów (POL)",16.07,1213
9.99,+0.1,Akani SIMBINE,93,RSA,F,2,"Complexe Sportif Prince Moulay Abdellah, Rabat (MAR)",28.05,1210
9.99,0.0,Cravont CHARLESTON,98,USA,F,4,"Stadion Śląski, Chorzów (POL)",16.07,1210
10.00,+0.6,Ackeem BLAKE,02,JAM,F,3,"Stade Louis II, Monaco (MON)",21.07,1206
10.01,0.0,Yohan BLAKE,89,JAM,F,5,"Stadion Śląski, Chorzów (POL)",16.07,1203
10.01,+0.6,Yohan BLAKE,89,JAM,F,4,"Stade Louis II, Monaco (MON)",21.07,1203
10.01,+0.4,Brandon CARNES,95,USA,F,4,"Egret Stadium, Xiamen (CHN)",02.09,1203
10.01,+0.1,Marvin BRACY-WILLIAMS,93,USA,F,5,"Hayward Field, Eugene, OR (USA)",16.09,1203
10.02,+0.4,Marvin BRACY-WILLIAMS,93,USA,F,5,"Egret Stadium, Xiamen (CHN)",02.09,1199
10.03,+1.0,Akani SIMBINE,93,RSA,F,1,"Olympiastadion, Stockholm (SWE)",02.07,1196
10.04,+0.6,Kishane THOMPSON,01,JAM,F,5,"Stade Louis II, Monaco (MON)",21.07,1193
10.04,+0.4,Yohan BLAKE,89,JAM,F,6,"Egret Stadium, Xiamen (CHN)",02.09,1193
10.05,+0.1,Ferdinand OMANYALA,96,KEN,F,3,"Complexe Sportif Prince Moulay Abdellah, Rabat (MAR)",28.05,1189
10.05,0.0,Ferdinand OMANYALA,96,KEN,F,2,"Stadio Luigi Ridolfi, Firenze (ITA)",02.06,1189
10.05,-0.9,Letsile TEBOGO,03,BOT,F,3,"Stade Charléty, Paris (FRA)",09.06,1194
10.05,+0.4,Lamont Marcell JACOBS,94,ITA,F,7,"Egret Stadium, Xiamen (CHN)",02.09,1189
10.06,+0.2,Jimmy VICAUT,92,FRA,F2,1,"Stade Charléty, Paris (FRA)",09.06,1186
10.08,+0.1,Yohan BLAKE,89,JAM,F,6,"Hayward Field, Eugene, OR (USA)",16.09,1179
10.09,+0.1,Letsile TEBOGO,03,BOT,F,4,"Complexe Sportif Prince Moulay Abdellah, Rabat (MAR)",28.05,1176
10.09,0.0,Trayvon BROMELL,95,USA,F,3,"Stadio Luigi Ridolfi, Firenze (ITA)",02.06,1176
10.09,0.0,Akani SIMBINE,93,RSA,F,4,"Stadio Luigi Ridolfi, Firenze (ITA)",02.06,1176
10.10,+0.1,Trayvon BROMELL,95,USA,F,5,"Complexe Sportif Prince Moulay Abdellah, Rabat (MAR)",28.05,1172
10.10,0.0,Marvin BRACY-WILLIAMS,93,USA,F,6,"Stadion Śląski, Chorzów (POL)",16.07,1172
10.11,+1.0,Jerome BLAKE,95,CAN,F1,1,"Suhaim bin Hamad Stadium, Doha (QAT)",05.05,1169
10.12,+0.4,Zhenye XIE,93,CHN,F,8,"Egret Stadium, Xiamen (CHN)",02.09,1165
10.13,0.0,Samuele CECCARELLI,00,ITA,F,5,"Stadio Luigi Ridolfi, Firenze (ITA)",02.06,1162
10.14,+1.1,Joshua HARTMANN,99,GER,F1,1,"Stade Charléty, Paris (FRA)",09.06,1159
10.14,+1.0,Reece PRESCOD,96,GBR,F,2,"Olympiastadion, Stockholm (SWE)",02.07,1159
10.15,0.0,Rohan BROWNING,97,AUS,F,6,"Stadio Luigi Ridolfi, Firenze (ITA)",02.06,1155
10.15,0.0,Yohan BLAKE,89,JAM,F,7,"Stadio Luigi Ridolfi, Firenze (ITA)",02.06,1155
10.15,0.0,Ackeem BLAKE,02,JAM,F,7,"Stadion Śląski, Chorzów (POL)",16.07,1155
10.15,+0.6,Joshua HARTMANN,99,GER,F,6,"Stade Louis II, Monaco (MON)",21.07,1155
10.16,-0.9,Yohan BLAKE,89,JAM,F,4,"Stade Charléty, Paris (FRA)",09.06,1157
10.16,+0.2,Pablo MATEO,01,FRA,F2,2,"Stade Charléty, Paris (FRA)",09.06,1152
10.16,+0.6,Courtney LINDSEY,98,USA,F,7,"Stade Louis II, Monaco (MON)",21.07,1152
10.17,-0.9,Ronnie BAKER,93,USA,F,5,"Stade Charléty, Paris (FRA)",09.06,1153
10.18,+0.1,Yohan BLAKE,89,JAM,F,6,"Complexe Sportif Prince Moulay Abdellah, Rabat (MAR)",28.05,1145
10.18,+0.4,Rohan WATSON,02,JAM,F,9,"Egret Stadium, Xiamen (CHN)",02.09,1145
10.20,+0.1,Jeremiah AZU,01,GBR,F,7,"Complexe Sportif Prince Moulay Abdellah, Rabat (MAR)",28.05,1138
10.20,-0.9,Benjamin AZAMATI,98,GHA,F,6,"Stade Charléty, Paris (FRA)",09.06,1143
10.21,-0.9,Lamont Marcell JACOBS,94,ITA,F,7,"Stade Charléty, Paris (FRA)",09.06,1140
10.21,+0.6,Arthur CISSÉ,96,CIV,F,8,"Stade Louis II, Monaco (MON)",21.07,1135
10.22,-0.9,Mouhamadou FALL,92,FRA,F,8,"Stade Charléty, Paris (FRA)",09.06,1137
10.23,0.0,Marvin BRACY-WILLIAMS,93,USA,F,8,"Stadio Luigi Ridolfi, Firenze (ITA)",02.06,1128
10.23,+0.2,Kobe VLEMINCKX,98,BEL,F2,3,"Stade Charléty, Paris (FRA)",09.06,1128
10.23,-0.1,Joshua HARTMANN,99,GER,F,1,"Olympiastadion, Stockholm (SWE)",02.07,1128
10.23,+1.0,Joshua HARTMANN,99,GER,F,3,"Olympiastadion, Stockholm (SWE)",02.07,1128
10.23,0.0,Pjai AUSTIN,00,USA,F,8,"Stadion Śląski, Chorzów (POL)",16.07,1128
10.24,-0.1,Benjamin RICHARDSON,03,RSA,F,2,"Olympiastadion, Stockholm (SWE)",02.07,1125
10.24,+1.0,Raphael BOUJU,02,NED,F,4,"Olympiastadion, Stockholm (SWE)",02.07,1125
10.25,+0.1,Mouhamadou FALL,92,FRA,F,8,"Complexe Sportif Prince Moulay Abdellah, Rabat (MAR)",28.05,1122
10.27,+1.0,Aaron BROWN,92,CAN,F,5,"Olympiastadion, Stockholm (SWE)",02.07,1115
10.27,+0.7,Shuang WANG,04,CHN,F,1,"Egret Stadium, Xiamen (CHN)",02.09,1115
10.28,+1.0,Ali Anwar Ali AL BALUSHI,02,OMA,F1,2,"Suhaim bin Hamad Stadium, Doha (QAT)",05.05,1112
10.29,+1.0,Femi OGUNODE,91,QAT,F1,3,"Suhaim bin Hamad Stadium, Doha (QAT)",05.05,1108
10.29,+0.2,Jeff ERIUS,04,FRA,F2,4,"Stade Charléty, Paris (FRA)",09.06,1108
10.30,-0.1,Jerome BLAKE,95,CAN,F,3,"Olympiastadion, Stockholm (SWE)",02.07,1105
10.30,+0.1,Joshua HARTMANN,99,GER,F,7,"Hayward Field, Eugene, OR (USA)",16.09,1105
10.31,+1.0,Tosin OGUNODE,94,QAT,F1,4,"Suhaim bin Hamad Stadium, Doha (QAT)",05.05,1102
10.31,0.0,Jeremiah AZU,01,GBR,F,9,"Stadion Śląski, Chorzów (POL)",16.07,1102
10.33,+1.0,Abdul Hakim SANI BROWN,99,JPN,F,6,"Olympiastadion, Stockholm (SWE)",02.07,1095
10.33,+0.7,Zhijian DENG,02,CHN,F,2,"Egret Stadium, Xiamen (CHN)",02.09,1095
10.34,+0.2,Andrew MORGAN-HARRISON,98,GBR,F2,5,"Stade Charléty, Paris (FRA)",09.06,1092
10.34,+0.7,Guanfeng CHEN,00,CHN,F,3,"Egret Stadium, Xiamen (CHN)",02.09,1092
10.35,+1.0,Hussein Ali AL KHAFAJI,97,IRQ,F1,5,"Suhaim bin Hamad Stadium, Doha (QAT)",05.05,1089
10.35,+0.7,Haibin YAN,03,CHN,F,4,"Egret Stadium, Xiamen (CHN)",02.09,1089
10.36,+1.1,Matteo MELLUZZO,02,ITA,F1,2,"Stade Charléty, Paris (FRA)",09.06,1085
10.37,+0.2,Milo SKUPIN-ALFA,99,GER,F2,6,"Stade Charléty, Paris (FRA)",09.06,1082
10.37,+0.8,Salum Ageze KASHAFALI,93,NOR,F1,1,"Bislett Stadion, Oslo (NOR)",15.06,1082
10.39,+0.7,Jiapeng CHEN,02,CHN,F,5,"Egret Stadium, Xiamen (CHN)",02.09,1076
10.40,+1.1,Joe FERGUSON,00,GBR,F1,3,"Stade Charléty, Paris (FRA)",09.06,1072
10.41,+0.7,Haijian ZHANG,02,CHN,F,6,"Egret Stadium, Xiamen (CHN)",02.09,1069
10.43,+0.8,Jacob VAULA,01,NOR,F1,2,"Bislett Stadion, Oslo (NOR)",15.06,1063
10.46,+1.0,Henrik LARSSON,99,SWE,F,7,"Olympiastadion, Stockholm (SWE)",02.07,1053
10.51,+0.8,Valentin JENSEN,05,DEN,F1,3,"Bislett Stadion, Oslo (NOR)",15.06,1037
10.52,-0.8,Pascal MANCINI,89,SUI,F2,1,"Stade Olympique de la Pontaise, Lausanne (SUI)",30.06,1038
10.55,-0.1,Desmond ROGO,96,SWE,F,4,"Olympiastadion, Stockholm (SWE)",02.07,1024
10.57,+0.8,Per Tinius FREMSTAD-WALDRON,00,NOR,F1,4,"Bislett Stadion, Oslo (NOR)",15.06,1018
10.57,+0.8,Mathias Hove JOHANSEN,98,NOR,F1,5,"Bislett Stadion, Oslo (NOR)",15.06,1018
10.57,-0.1,Isak HUGHES,05,SWE,F,5,"Olympiastadion, Stockholm (SWE)",02.07,1018
10.58,+1.1,Ward MERCKX,97,BEL,F1,4,"Stade Charléty, Paris (FRA)",09.06,1015
10.60,-0.8,Felix SVENSSON,97,SUI,F2,2,"Stade Olympique de la Pontaise, Lausanne (SUI)",30.06,1012
10.61,+0.8,Marius BULL HJERTNES,96,NOR,F1,6,"Bislett Stadion, Oslo (NOR)",15.06,1005
10.61,+0.1,Letsile TEBOGO,03,BOT,F,8,"Hayward Field, Eugene, OR (USA)",16.09,1005
10.63,+0.1,Machmour CHAKIR,94,MAR,F,9,"Complexe Sportif Prince Moulay Abdellah, Rabat (MAR)",28.05,999
10.65,+0.8,Edem AGBO,99,NOR,F1,7,"Bislett Stadion, Oslo (NOR)",15.06,993
10.66,+1.0,Khalid Wadi ADOUM,05,QAT,F1,6,"Suhaim bin Hamad Stadium, Doha (QAT)",05.05,990
10.67,-0.1,Simon PLESSE,02,SWE,F,6,"Olympiastadion, Stockholm (SWE)",02.07,986
10.68,+1.0,Youssef HAMED,04,QAT,F1,7,"Suhaim bin Hamad Stadium, Doha (QAT)",05.05,983
10.69,+0.8,Øyvind Strømmen KJERPESET,91,NOR,F1,8,"Bislett Stadion, Oslo (NOR)",15.06,980
10.69,-0.6,Patrick MONGA BIFUKO,96,COD,F2,1,"Bislett Stadion, Oslo (NOR)",15.06,983
10.70,-0.6,August HEMSTAD,02,NOR,F2,2,"Bislett Stadion, Oslo (NOR)",15.06,980
10.71,-0.1,Viktor THOR,00,SWE,F,7,"Olympiastadion, Stockholm (SWE)",02.07,974
10.73,-0.8,Alexis HIRSIGER,05,SUI,F2,3,"Stade Olympique de la Pontaise, Lausanne (SUI)",30.06,972
10.74,-0.8,Joël CSONTOS,05,SUI,F2,4,"Stade Olympique de la Pontaise, Lausanne (SUI)",30.06,969
10.74,-0.8,Joshua EICHENBERGER,99,SUI,F2,5,"Stade Olympique de la Pontaise, Lausanne (SUI)",30.06,969
10.80,-0.6,Daniel Alejandro JOHNSEN,98,NOR,F2,3,"Bislett Stadion, Oslo (NOR)",15.06,949
10.81,-0.6,Sondre Matias KUI RUDI,00,NOR,F2,4,"Bislett Stadion, Oslo (NOR)",15.06,946
10.81,-0.1,Milo WAHLGREN,02,SWE,F,8,"Olympiastadion, Stockholm (SWE)",02.07,943
10.86,+1.0,Amir MUHAMMAD,04,QAT,F1,8,"Suhaim bin Hamad Stadium, Doha (QAT)",05.05,928
10.88,-0.8,Lucien KERN,02,SUI,F2,6,"Stade Olympique de la Pontaise, Lausanne (SUI)",30.06,926
10.94,-0.8,Alan PICHONNAZ,01,SUI,F2,7,"Stade Olympique de la Pontaise, Lausanne (SUI)",30.06,908
10.95,-0.8,Marc PERRIN,95,FRA,F2,8,"Stade Olympique de la Pontaise, Lausanne (SUI)",30.06,905
10.97,-0.6,Emil GUNDERSEN,04,NOR,F2,5,"Bislett Stadion, Oslo (NOR)",15.06,898
10.99,-0.4,Rune VANDEZANDE,07,BEL,F,1,"Boudewijnstadion, Bruxelles (BEL)",08.09,891
11.07,-0.4,Niels VAN DE CLOODT,06,BEL,F,2,"Boudewijnstadion, Bruxelles (BEL)",08.09,868
11.08,-0.4,Xavier ROUSSEAU,06,BEL,F,3,"Boudewijnstadion, Bruxelles (BEL)",08.09,865
11.12,-0.4,Jilcien PLANCHON,06,BEL,F,4,"Boudewijnstadion, Bruxelles (BEL)",08.09,853
11.15,+0.6,Erdun PI,06,CHN,F,1,"Egret Stadium, Xiamen (CHN)",02.09,842
11.20,-0.6,Marius GLENNER-FRANDSEN,95,DEN,F2,6,"Bislett Stadion, Oslo (NOR)",15.06,831
11.22,-0.4,Kobe VAN RAEMDONCK,06,BEL,F,5,"Boudewijnstadion, Bruxelles (BEL)",08.09,824
11.27,+0.6,Dingjie ZHOU,06,CHN,F,2,"Egret Stadium, Xiamen (CHN)",02.09,808
11.29,+0.6,Zicheng ZENG,07,CHN,F,3,"Egret Stadium, Xiamen (CHN)",02.09,803
11.29,-0.4,Robbe CARCHON,06,BEL,F,6,"Boudewijnstadion, Bruxelles (BEL)",08.09,805
11.30,-0.4,Tiago LECOMTE,07,BEL,F,7,"Boudewijnstadion, Bruxelles (BEL)",08.09,802
11.32,+0.6,Ruiquan JIANG, - ,CHN,F,4,"Egret Stadium, Xiamen (CHN)",02.09,794
11.37,-0.4,Mateo BOGAERT,06,BEL,F,8,"Boudewijnstadion, Bruxelles (BEL)",08.09,782
11.45,+0.6,Zhixiang DING, - ,CHN,F,5,"Egret Stadium, Xiamen (CHN)",02.09,758
13.34,+1.0,Jimmy VICAUT,92,FRA,F,8,"Olympiastadion, Stockholm (SWE)",02.07,329
